pattern_id,main_mask,degree,exp_list,exp_mons
0,2,1,"[m0,m2]",1 + x1
1,4,1,"[m0,m4]",1 + x2
2,5,2,"[m4,m5]",x2 + x0x2
3,5,2,"[m1,m5]",x0 + x0x2
4,5,2,"[m0,m1,m4,m5]",1 + x0 + x2 + x0x2
5,5,2,"[m0,m5]",1 + x0x2
6,7,3,"[m6,m7]",x1x2 + x0x1x2
7,7,3,"[m5,m7]",x0x2 + x0x1x2
8,7,3,"[m4,m5,m6,m7]",x2 + x0x2 + x1x2 + x0x1x2
9,7,3,"[m4,m7]",x2 + x0x1x2
10,7,3,"[m3,m7]",x0x1 + x0x1x2
11,7,3,"[m2,m3,m6,m7]",x1 + x0x1 + x1x2 + x0x1x2
12,7,3,"[m2,m7]",x1 + x0x1x2
13,7,3,"[m1,m3,m5,m7]",x0 + x0x1 + x0x2 + x0x1x2
14,7,3,"[m1,m7]",x0 + x0x1x2
15,7,3,"[m0,m1,m2,m3,m4,m5,m6,m7]",1 + x0 + x1 + x0x1 + x2 + x0x2 + x1x2 + x0x1x2
16,7,3,"[m0,m1,m6,m7]",1 + x0 + x1x2 + x0x1x2
17,7,3,"[m0,m3,m4,m7]",1 + x0x1 + x2 + x0x1x2
18,7,3,"[m0,m7]",1 + x0x1x2
19,7,3,"[m0,m2,m5,m7]",1 + x1 + x0x2 + x0x1x2
20,10,2,"[m8,m10]",x3 + x1x3
21,10,2,"[m2,m10]",x1 + x1x3
22,10,2,"[m0,m2,m8,m10]",1 + x1 + x3 + x1x3
23,10,2,"[m0,m10]",1 + x1x3
24,14,3,"[m12,m14]",x2x3 + x1x2x3
25,14,3,"[m10,m14]",x1x3 + x1x2x3
26,14,3,"[m8,m10,m12,m14]",x3 + x1x3 + x2x3 + x1x2x3
27,14,3,"[m8,m14]",x3 + x1x2x3
28,14,3,"[m6,m14]",x1x2 + x1x2x3
29,14,3,"[m4,m6,m12,m14]",x2 + x1x2 + x2x3 + x1x2x3
30,14,3,"[m4,m14]",x2 + x1x2x3
31,14,3,"[m2,m6,m10,m14]",x1 + x1x2 + x1x3 + x1x2x3
32,14,3,"[m2,m14]",x1 + x1x2x3
33,14,3,"[m0,m2,m4,m6,m8,m10,m12,m14]",1 + x1 + x2 + x1x2 + x3 + x1x3 + x2x3 + x1x2x3
34,14,3,"[m0,m2,m12,m14]",1 + x1 + x2x3 + x1x2x3
35,14,3,"[m0,m6,m8,m14]",1 + x1x2 + x3 + x1x2x3
36,14,3,"[m0,m14]",1 + x1x2x3
37,14,3,"[m0,m4,m10,m14]",1 + x2 + x1x3 + x1x2x3
38,15,4,"[m14,m15]",x1x2x3 + x0x1x2x3
39,15,4,"[m13,m15]",x0x2x3 + x0x1x2x3
40,15,4,"[m12,m13,m14,m15]",x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
41,15,4,"[m12,m15]",x2x3 + x0x1x2x3
42,15,4,"[m11,m15]",x0x1x3 + x0x1x2x3
43,15,4,"[m10,m11,m14,m15]",x1x3 + x0x1x3 + x1x2x3 + x0x1x2x3
44,15,4,"[m10,m15]",x1x3 + x0x1x2x3
45,15,4,"[m9,m11,m13,m15]",x0x3 + x0x1x3 + x0x2x3 + x0x1x2x3
46,15,4,"[m9,m15]",x0x3 + x0x1x2x3
47,15,4,"[m8,m9,m10,m11,m12,m13,m14,m15]",x3 + x0x3 + x1x3 + x0x1x3 + x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
48,15,4,"[m8,m9,m14,m15]",x3 + x0x3 + x1x2x3 + x0x1x2x3
49,15,4,"[m8,m11,m12,m15]",x3 + x0x1x3 + x2x3 + x0x1x2x3
50,15,4,"[m8,m15]",x3 + x0x1x2x3
51,15,4,"[m8,m10,m13,m15]",x3 + x1x3 + x0x2x3 + x0x1x2x3
52,15,4,"[m7,m15]",x0x1x2 + x0x1x2x3
53,15,4,"[m6,m7,m14,m15]",x1x2 + x0x1x2 + x1x2x3 + x0x1x2x3
54,15,4,"[m6,m15]",x1x2 + x0x1x2x3
55,15,4,"[m5,m7,m13,m15]",x0x2 + x0x1x2 + x0x2x3 + x0x1x2x3
56,15,4,"[m5,m15]",x0x2 + x0x1x2x3
57,15,4,"[m4,m5,m6,m7,m12,m13,m14,m15]",x2 + x0x2 + x1x2 + x0x1x2 + x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
58,15,4,"[m4,m5,m14,m15]",x2 + x0x2 + x1x2x3 + x0x1x2x3
59,15,4,"[m4,m7,m12,m15]",x2 + x0x1x2 + x2x3 + x0x1x2x3
60,15,4,"[m4,m15]",x2 + x0x1x2x3
61,15,4,"[m4,m6,m13,m15]",x2 + x1x2 + x0x2x3 + x0x1x2x3
62,15,4,"[m3,m7,m11,m15]",x0x1 + x0x1x2 + x0x1x3 + x0x1x2x3
63,15,4,"[m3,m15]",x0x1 + x0x1x2x3
64,15,4,"[m2,m3,m6,m7,m10,m11,m14,m15]",x1 + x0x1 + x1x2 + x0x1x2 + x1x3 + x0x1x3 + x1x2x3 + x0x1x2x3
