pattern_id,main_mask,degree,exp_list,exp_mons
0,1,1,"[m0,m1]",1 + x0
1,4,1,"[m0,m4]",1 + x2
2,5,2,"[m4,m5]",x2 + x0x2
3,5,2,"[m1,m5]",x0 + x0x2
4,5,2,"[m0,m1,m4,m5]",1 + x0 + x2 + x0x2
5,5,2,"[m0,m5]",1 + x0x2
6,8,1,"[m0,m8]",1 + x3
7,10,2,"[m8,m10]",x3 + x1x3
8,10,2,"[m2,m10]",x1 + x1x3
9,10,2,"[m0,m2,m8,m10]",1 + x1 + x3 + x1x3
10,10,2,"[m0,m10]",1 + x1x3
11,11,3,"[m10,m11]",x1x3 + x0x1x3
12,11,3,"[m9,m11]",x0x3 + x0x1x3
13,11,3,"[m8,m9,m10,m11]",x3 + x0x3 + x1x3 + x0x1x3
14,11,3,"[m8,m11]",x3 + x0x1x3
15,11,3,"[m3,m11]",x0x1 + x0x1x3
16,11,3,"[m2,m3,m10,m11]",x1 + x0x1 + x1x3 + x0x1x3
17,11,3,"[m2,m11]",x1 + x0x1x3
18,11,3,"[m1,m3,m9,m11]",x0 + x0x1 + x0x3 + x0x1x3
19,11,3,"[m1,m11]",x0 + x0x1x3
20,11,3,"[m0,m1,m2,m3,m8,m9,m10,m11]",1 + x0 + x1 + x0x1 + x3 + x0x3 + x1x3 + x0x1x3
21,11,3,"[m0,m1,m10,m11]",1 + x0 + x1x3 + x0x1x3
22,11,3,"[m0,m3,m8,m11]",1 + x0x1 + x3 + x0x1x3
23,11,3,"[m0,m11]",1 + x0x1x3
24,11,3,"[m0,m2,m9,m11]",1 + x1 + x0x3 + x0x1x3
25,13,3,"[m12,m13]",x2x3 + x0x2x3
26,13,3,"[m9,m13]",x0x3 + x0x2x3
27,13,3,"[m8,m9,m12,m13]",x3 + x0x3 + x2x3 + x0x2x3
28,13,3,"[m8,m13]",x3 + x0x2x3
29,13,3,"[m5,m13]",x0x2 + x0x2x3
30,13,3,"[m4,m5,m12,m13]",x2 + x0x2 + x2x3 + x0x2x3
31,13,3,"[m4,m13]",x2 + x0x2x3
32,13,3,"[m1,m5,m9,m13]",x0 + x0x2 + x0x3 + x0x2x3
33,13,3,"[m1,m13]",x0 + x0x2x3
34,13,3,"[m0,m1,m4,m5,m8,m9,m12,m13]",1 + x0 + x2 + x0x2 + x3 + x0x3 + x2x3 + x0x2x3
35,13,3,"[m0,m1,m12,m13]",1 + x0 + x2x3 + x0x2x3
36,13,3,"[m0,m5,m8,m13]",1 + x0x2 + x3 + x0x2x3
37,13,3,"[m0,m13]",1 + x0x2x3
38,13,3,"[m0,m4,m9,m13]",1 + x2 + x0x3 + x0x2x3
39,14,3,"[m12,m14]",x2x3 + x1x2x3
40,14,3,"[m10,m14]",x1x3 + x1x2x3
41,14,3,"[m8,m10,m12,m14]",x3 + x1x3 + x2x3 + x1x2x3
42,14,3,"[m8,m14]",x3 + x1x2x3
43,14,3,"[m6,m14]",x1x2 + x1x2x3
44,14,3,"[m4,m6,m12,m14]",x2 + x1x2 + x2x3 + x1x2x3
45,14,3,"[m4,m14]",x2 + x1x2x3
46,14,3,"[m2,m6,m10,m14]",x1 + x1x2 + x1x3 + x1x2x3
47,14,3,"[m2,m14]",x1 + x1x2x3
48,14,3,"[m0,m2,m4,m6,m8,m10,m12,m14]",1 + x1 + x2 + x1x2 + x3 + x1x3 + x2x3 + x1x2x3
49,14,3,"[m0,m2,m12,m14]",1 + x1 + x2x3 + x1x2x3
50,14,3,"[m0,m6,m8,m14]",1 + x1x2 + x3 + x1x2x3
51,14,3,"[m0,m14]",1 + x1x2x3
52,14,3,"[m0,m4,m10,m14]",1 + x2 + x1x3 + x1x2x3
53,15,4,"[m14,m15]",x1x2x3 + x0x1x2x3
54,15,4,"[m13,m15]",x0x2x3 + x0x1x2x3
55,15,4,"[m12,m13,m14,m15]",x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
56,15,4,"[m12,m15]",x2x3 + x0x1x2x3
57,15,4,"[m11,m15]",x0x1x3 + x0x1x2x3
58,15,4,"[m10,m11,m14,m15]",x1x3 + x0x1x3 + x1x2x3 + x0x1x2x3
59,15,4,"[m10,m15]",x1x3 + x0x1x2x3
60,15,4,"[m9,m11,m13,m15]",x0x3 + x0x1x3 + x0x2x3 + x0x1x2x3
61,15,4,"[m9,m15]",x0x3 + x0x1x2x3
62,15,4,"[m8,m9,m10,m11,m12,m13,m14,m15]",x3 + x0x3 + x1x3 + x0x1x3 + x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
63,15,4,"[m8,m9,m14,m15]",x3 + x0x3 + x1x2x3 + x0x1x2x3
64,15,4,"[m8,m11,m12,m15]",x3 + x0x1x3 + x2x3 + x0x1x2x3
65,15,4,"[m8,m15]",x3 + x0x1x2x3
66,15,4,"[m8,m10,m13,m15]",x3 + x1x3 + x0x2x3 + x0x1x2x3
67,15,4,"[m7,m15]",x0x1x2 + x0x1x2x3
68,15,4,"[m6,m7,m14,m15]",x1x2 + x0x1x2 + x1x2x3 + x0x1x2x3
69,15,4,"[m6,m15]",x1x2 + x0x1x2x3
70,15,4,"[m5,m7,m13,m15]",x0x2 + x0x1x2 + x0x2x3 + x0x1x2x3
71,15,4,"[m5,m15]",x0x2 + x0x1x2x3
72,15,4,"[m4,m5,m6,m7,m12,m13,m14,m15]",x2 + x0x2 + x1x2 + x0x1x2 + x2x3 + x0x2x3 + x1x2x3 + x0x1x2x3
73,15,4,"[m4,m5,m14,m15]",x2 + x0x2 + x1x2x3 + x0x1x2x3
74,15,4,"[m4,m7,m12,m15]",x2 + x0x1x2 + x2x3 + x0x1x2x3
75,15,4,"[m4,m15]",x2 + x0x1x2x3
76,15,4,"[m4,m6,m13,m15]",x2 + x1x2 + x0x2x3 + x0x1x2x3
77,15,4,"[m3,m7,m11,m15]",x0x1 + x0x1x2 + x0x1x3 + x0x1x2x3
78,15,4,"[m3,m15]",x0x1 + x0x1x2x3
79,15,4,"[m2,m3,m6,m7,m10,m11,m14,m15]",x1 + x0x1 + x1x2 + x0x1x2 + x1x3 + x0x1x3 + x1x2x3 + x0x1x2x3
80,15,4,"[m2,m3,m14,m15]",x1 + x0x1 + x1x2x3 + x0x1x2x3
